№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
5908,Автобус,Остановка,"ПАРГОЛОВО, ЗАВОДСКАЯ УЛ., ПО ТРЕБОВАНИЮ","ПАРГОЛОВО, ЗАВОДСКАЯ УЛ., ПО ТРЕБОВАНИЮ","Выборгское шоссе, Заводская улица","109, 109Б, 110, 148, 173, 259, 397, 433, 435, 436, 567, 75, Я=555","60.069497103943817,30.2914143"
5909,Автобус,Остановка,"ШПАЛЕРНАЯ УЛ., УГ. ТАВРИЧЕСКОЙ УЛ","ШПАЛЕРНАЯ УЛ., УГ. ТАВРИЧЕСКОЙ УЛ","Таврическая ул., Шпалерная ул","46, 74","59.948454754480437,30.3781281"
5910,Трамвай,Остановка,Придорожная аллея,Придорожная аллея,"Придорожная аллея, Парнасский путепровод","20, 58","60.051532488100321,30.3793907"
5911,Автобус,Остановка,"ПР. ЛЕНИНА, УГОЛ УЛ. ПЕРВОГО МАЯ","ПР. ЛЕНИНА, УГОЛ УЛ. ПЕРВОГО МАЯ","1-го Мая ул., Ленина пр","144, 146, 149, 149А, 301, 443, 446, 454, 458, 458Б, 477, 547","59.732873111994692,30.0885715"
5912,Автобус,Остановка,ПР. ЭНЕРГЕТИКОВ,ПР. ЭНЕРГЕТИКОВ,"Большая Пороховская ул., Энергетиков пр","136, 15, 28, 290","59.953184850930185,30.4358864"
5913,Автобус,Остановка,"ПОЛЮСТРОВСКИЙ ПР., УГОЛ ЗАМШИНОЙ УЛ","ПОЛЮСТРОВСКИЙ ПР., УГОЛ ЗАМШИНОЙ УЛ","Полюстровский проспект, Замшина улица","105, 106, 133, 295, 33, 37","59.967801814132223,30.3915558"
5914,Автобус,Остановка,"БОЛЬШАЯ ПОРОХОВСКАЯ УЛ., 46","БОЛЬШАЯ ПОРОХОВСКАЯ УЛ., 46","Большая Пороховская ул., Дегтярева ул","136, 15, 28, 290","59.953140391850276,30.4302902"
5915,Автобус,Остановка,НАРОДНАЯ УЛ,НАРОДНАЯ УЛ,"проспект Большевиков, Народная улица",4,"59.884311312646787,30.4884796"
5916,Автобус,Остановка,"ПР. БОЛЬШЕВИКОВ, 61","ПР. БОЛЬШЕВИКОВ, 61","проспект Большевиков, 1-я дорога",4,"59.880842975818936,30.4847946"
5917,Автобус,Остановка,МОХОВАЯ УЛ,МОХОВАЯ УЛ,"Пестеля ул., Моховая ул","46, 49, 76","59.942639538945222,30.3456669"
5918,Автобус,Остановка,"СЕВЕРНЫЙ ПР., УГОЛ УЛ. СОФЬИ КОВАЛЕВСКОЙ","СЕВЕРНЫЙ ПР., УГОЛ УЛ. СОФЬИ КОВАЛЕВСКОЙ","Северный пр., Софьи Ковалевской ул","199, 94","60.019546967974442,30.4166145"
5919,Автобус,Остановка,"СТ. МЕТРО ""ПОЛИТЕХНИЧЕСКАЯ""","СТ. МЕТРО ""ПОЛИТЕХНИЧЕСКАЯ""","Политехническая улица, улица Курчатова","294, 94","60.008118011614236,30.3694286"
5920,Автобус,Остановка,УЛ. ЖАКА ДЮКЛО,УЛ. ЖАКА ДЮКЛО,"ул. Курчатова, ул. Жака Дюкло","271, 94","60.008288724015195,30.360611"
5921,Автобус,Остановка,ПР. ТОРЕЗА,ПР. ТОРЕЗА,"Институтский пр., пр. Тореза",94,"60.006294748205065,30.3541393"
5922,Автобус,Остановка,МАЛАЯ ОБЪЕЗДНАЯ УЛ,МАЛАЯ ОБЪЕЗДНАЯ УЛ,"Институтский проспект, Малая Объездная ул",94,"60.00348795525283,30.3493214"
5923,Автобус,Остановка,2-Й МУРИНСКИЙ ПР,2-Й МУРИНСКИЙ ПР,"Институтский проспект, 2-й Муринский проспект","250, 94","60.000165251349678,30.3475208"
5924,Автобус,Остановка,ПР. ЭНГЕЛЬСА,ПР. ЭНГЕЛЬСА,"Новороссийская улица, Новосильцевский переулок","250, 94","59.99779510238433,30.3330002"
5925,Автобус,Остановка,ПР. СТАЧЕК,ПР. СТАЧЕК,"Ленинский пр., Стачек пр","142, 226, 239, 243, 26, 83, 87","59.851752285015266,30.233099"
5926,Автобус,Остановка,ПР. ЭНГЕЛЬСА,ПР. ЭНГЕЛЬСА,"Новороссийская улица, Новосильцевский переулок","250, 94","59.997784856414995,30.3317699"
5927,Автобус,Остановка,2-Й МУРИНСКИЙ ПР,2-Й МУРИНСКИЙ ПР,"Институтский проспект, 2-й Муринский проспект",94,"60.001022424795451,30.3482685"
5928,Автобус,Остановка,МАЛАЯ ОБЪЕЗДНАЯ УЛ,МАЛАЯ ОБЪЕЗДНАЯ УЛ,"Институтский проспект, Малая Объездная улица",94,"60.004341627950645,30.3501987"
5929,Автобус,Остановка,"СТ. МЕТРО ""ПОЛИТЕХНИЧЕСКАЯ""","СТ. МЕТРО ""ПОЛИТЕХНИЧЕСКАЯ""","Политехническая улица, улица Гидротехников","294, 94","60.009220798182547,30.369463"
5930,Автобус,Остановка,"ТИХОРЕЦКИЙ ПР., 7","ТИХОРЕЦКИЙ ПР., 7","Тихорецкий проспект, Яшумов переулок","271, 275, 294, 399, 69, 94","60.012928349585309,30.3687725"
5931,Автобус,Остановка,ПЛ. БАЛТФЛОТА,ПЛ. БАЛТФЛОТА,"Морская набережная, Боцманская улица","100, 158, 220","59.941886907094805,30.2082405"
5932,Автобус,Остановка,"МОРСКАЯ НАБ.,9","МОРСКАЯ НАБ.,9",Морская набережная,"100, 158, 220, 261","59.937398129671543,30.2137547"
5933,Автобус,Остановка,УЛ. МАРШАЛА ТУХАЧЕВСКОГО,УЛ. МАРШАЛА ТУХАЧЕВСКОГО,"Маршала Тухачевского ул., Буренина ул",288,"59.970375783245892,30.4233837"
5934,Автобус,Остановка,"ЗАМШИНА УЛ., УГ. ПР. МЕЧНИКОВА","ЗАМШИНА УЛ., УГ. ПР. МЕЧНИКОВА","Мечникова пр., Замшина ул","105, 136, 176, 183, 230, 237","59.985641152706187,30.4110241"
5935,Автобус,Остановка,"ПР. МЕЧНИКОВА, УГ. КОНДРАТЬЕВСКОГО ПР","ПР. МЕЧНИКОВА, УГ. КОНДРАТЬЕВСКОГО ПР","Кондратьевский пр., Мечникова пр","105, 136, 176, 183, 230, 237","59.986748105218211,30.4009056"
5936,Автобус,Остановка,УЛ. МАРШАЛА ТУХАЧЕВСКОГО,УЛ. МАРШАЛА ТУХАЧЕВСКОГО,"Маршала Тухачевского ул., Буренина ул",288,"59.970358692477213,30.4239101"
5937,Автобус,ДС,"А.С. ""ЛАХТИНСКИЙ РАЗЛИВ"" - ПОСАДКИ И ВЫСАДКИ НЕТ","А.С. ""ЛАХТИНСКИЙ РАЗЛИВ"" - ПОСАДКИ И ВЫСАДКИ НЕТ","Школьная улица, Приморское шоссе","120, 134, 134А, 134Б, 170, 303, 93","59.990946671874219,30.1940918"
5938,Автобус,Остановка,ПИСКАРЁВСКИЙ ПР,ПИСКАРЁВСКИЙ ПР,"Маршала Блюхера пр., Пискаревский пр",185,"59.975256545839876,30.415123"
5939,Автобус,Остановка,ЗАМШИНА УЛ,ЗАМШИНА УЛ,"Маршала Блюхера пр., Замшина ул","185, 249","59.976787617242294,30.4015617"
5940,Автобус,Остановка,ПР. МАРШАЛА БЛЮХЕРА УГ. КОНДРАТЬЕВСКОГО ПР,ПР. МАРШАЛА БЛЮХЕРА УГ. КОНДРАТЬЕВСКОГО ПР,"Маршала Блюхера пр., Кондратьевский пр","105, 185, 249, 271","59.977847022528891,30.3923893"
5941,Автобус,Остановка,ЛАБОРАТОРНЫЙ ПР,ЛАБОРАТОРНЫЙ ПР,"Маршала Блюхера пр., Лабораторная ул","105, 185, 249, 271","59.978988408354347,30.3830013"
5942,Автобус,Остановка,КОНДРАТЬЕВСКИЙ ПР,КОНДРАТЬЕВСКИЙ ПР,"пр. Маршала Блюхера, Кондратьевский пр","185, 249","59.9773685856292,30.3938541"
5943,Автобус,Остановка,ЗАМШИНА УЛ,ЗАМШИНА УЛ,"пр. Маршала Блюхера, ул. Ключевая",185,"59.976240814154231,30.4035568"
5944,Автобус,Остановка,ПИСКАРЁВСКИЙ ПР,ПИСКАРЁВСКИЙ ПР,"Маршала Блюхера пр., Пискаревский пр","181, 185","59.974760983010889,30.4162197"
5945,Автобус,Остановка,УЛ. ИЛЬЮШИНА,УЛ. ИЛЬЮШИНА,"Планерная улица, улица Ильюшина","170, 223","60.010484006953668,30.2351685"
5946,Автобус,Остановка,ДОЛГООЗЁРНАЯ УЛ,ДОЛГООЗЁРНАЯ УЛ,"Планерная улица, Долгоозёрная улица","170, 223","60.012614282158154,30.2340031"
5947,Автобус,Остановка,"ПЛАНЕРНАЯ УЛ., 49","ПЛАНЕРНАЯ УЛ., 49","Планерная улица, ЗСД","170, 223","60.017785773446512,30.227932"
5948,Автобус,Остановка,ШУВАЛОВСКИЙ ПР. УГ. ПЛАНЕРНОЙ УЛ,ШУВАЛОВСКИЙ ПР. УГ. ПЛАНЕРНОЙ УЛ,"Планерная ул., Шуваловский пр","170, 171, 202, 85","60.022772168153637,30.2210064"
5949,Автобус,Остановка,"ГЛУХАРСКАЯ УЛ., 5","ГЛУХАРСКАЯ УЛ., 5","Глухарская ул., Планерная ул","170, 171, 182, 79, 85","60.028392479119184,30.2133522"
5950,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГОЛ СЕРЕБРИСТОГО БУЛЬВАРА","БОГАТЫРСКИЙ ПР., УГОЛ СЕРЕБРИСТОГО БУЛЬВАРА","Богатырский пр., Серебристый бул","170, 172, 184, 235, 93","59.999010934881504,30.2835159"
5951,Автобус,Остановка,РЕПИЩЕВА УЛ,РЕПИЩЕВА УЛ,"Новосельковская улица, Репищева улица","122, 170, 172, 208, 38","60.031152803959721,30.2861786"
5952,Автобус,Остановка,ДАЛЬНЯЯ РОГАТКА,ДАЛЬНЯЯ РОГАТКА,"Пулковское шоссе, Петербургское шоссе","147, 150, 155, 187, 232, 252, 299, 301, 90","59.780437122295332,30.3259411"
5953,Автобус,Остановка,СЕРЕБРИСТЫЙ БУЛЬВАР,СЕРЕБРИСТЫЙ БУЛЬВАР,"Серебристый бул., Богатырский пр","122, 170","59.999663231089727,30.2826004"
5954,Автобус,Остановка,ПЛ. СИКОРСКОГО,ПЛ. СИКОРСКОГО,"Королева проспект, Уточкина улица","170, 180, 182, 202, 227, 76, 79, 85","60.013942220809632,30.263073"
5955,Автобус,Остановка,ШУВАЛОВСКИЙ ПР. УГ. ПР. АВИАКОНСТРУКТОРОВ,ШУВАЛОВСКИЙ ПР. ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ,"Шуваловский проспект, проспект Авиаконструкторов","134, 171, 202, 223","60.025062039861623,30.2277126"
5956,Автобус,Остановка,ШУВАЛОВСКИЙ ПР. УГ. ПЛАНЕРНОЙ УЛ,ШУВАЛОВСКИЙ ПР. УГ. ПЛАНЕРНОЙ УЛ,"Планерная ул., Шуваловский пр","170, 223, 85","60.02194968668136,30.2221775"
5957,Автобус,Остановка,УЛ. ШАВРОВА,УЛ. ШАВРОВА,"Планерная улица, улица Шаврова","170, 223","60.020567462172572,30.2243652"
5958,Автобус,Остановка,ДОЛГООЗЁРНАЯ УЛ,ДОЛГООЗЁРНАЯ УЛ,"Планерная улица, Долгоозёрная улица","170, 223","60.011989552210913,30.234314"
5959,Автобус,Остановка,УЛ. ИЛЬЮШИНА,УЛ. ИЛЬЮШИНА,"Планерная ул., Ильюшина ул","126, 170, 235, 294","60.00964414920108,30.2352772"
5960,Автобус,Остановка,ДАЛЬНЯЯ РОГАТКА,ДАЛЬНЯЯ РОГАТКА,"Пулковское шоссе, Петербургское шоссе","147, 150, 155, 187, 232, 252, 299, 301, 90","59.782021881477704,30.324791"
5961,Автобус,Остановка,ПРЕДПОРТОВАЯ УЛ,ПРЕДПОРТОВАЯ УЛ,"Предпортовая улица, 3-й Предпортовый проезд","11, 241, 3, 62","59.832464485034556,30.3039379"
5962,Трамвай,Остановка,Ул. Александра Невского,Ул. Александра Невского,"Херсонская улица, улица Александра Невского","24, 30, 39","59.926731425163858,30.3863506"
5963,Трамвай,Остановка,Ул. Александра Невского,Ул. Александра Невского,"Херсонская улица, Амбарная улица","24, 30, 39","59.926522642473721,30.3872395"
5964,Трамвай,Остановка,Исполкомская ул,Исполкомская ул,"Херсонская улица, Исполкомская улица","24, 30, 39","59.928025164013462,30.3822689"
5965,Трамвай,Остановка,Исполкомская ул,Исполкомская ул,"Херсонская ул., Исполкомская ул","24, 30, 39","59.928316077177378,30.3809071"
5966,Трамвай,Остановка,Перекупной пер,Перекупной пер,"Бакунина пр., Евгеньевская ул","24, 30, 39","59.930629601641108,30.3807697"
5967,Автобус,Остановка,"МОРСКАЯ ТЕХНИЧЕСКАЯ АКАДЕМИЯ, ПО ТРЕБОВАНИЮ","МОРСКАЯ ТЕХНИЧЕСКАЯ АКАДЕМИЯ, ПО ТРЕБОВАНИЮ",Кронштадтское шоссе,"101, 101Э, 175, 207, 215, 2КР, 2Л, 3КР","60.00864721718866,29.7340984"
5968,Автобус,Остановка,ДОСААФ,ДОСААФ,"Краснофлотское шоссе, Пригородная улица","175, 1Л, 2Л","59.921552542055814,29.7266712"
5969,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГОЛ ШУВАЛОВСКОГО ПР","БОГАТЫРСКИЙ ПР., УГОЛ ШУВАЛОВСКОГО ПР","Богатырский пр., Богатырский пр","125, 134, 294","60.007684398153742,30.2037354"
5970,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГОЛ ТУРИСТСКОЙ УЛ","БОГАТЫРСКИЙ ПР., УГОЛ ТУРИСТСКОЙ УЛ","Богатырский пр., Богатырский пр","125, 134, 184, 279, 294","60.006376694785352,30.2136593"
5971,Автобус,Остановка,"ЯХТЕННАЯ УЛ., УГОЛ БОГАТЫРСКОГО ПР","ЯХТЕННАЯ УЛ., УГОЛ БОГАТЫРСКОГО ПР","Яхтенная ул., Богатырский пр","125, 235, 279, 294","60.005618681169757,30.2251453"
5972,Автобус,Остановка,"УЛ. ОПТИКОВ, УГОЛ ЯХТЕННОЙ УЛ","УЛ. ОПТИКОВ, УГОЛ ЯХТЕННОЙ УЛ",Оптиков ул,"180, 279, 294","59.999939855440687,30.2208691"
5973,Автобус,Остановка,ПОЛИКЛИНИКА №38,ПОЛИКЛИНИКА №38,"Тверская ул., Ставропольская ул","46, 74","59.946782129340654,30.3845196"
5974,Трамвай,Остановка,"Ст. метро ""Выборгская""","Ст. метро ""Выборгская""","Лесной проспект, улица Смолячкова",20,"59.971097005644658,30.3484802"
5975,Трамвай,Остановка,Нейшлотский пер,Нейшлотский пер,"Лесной проспект, Нейшлотский переулок",20,"59.967931713780551,30.34972"
5976,Трамвай,Остановка,Боткинская ул,Боткинская ул,"улица Академика Лебедева, Боткинская улица",20,"59.958533185050015,30.3530464"
5977,Автобус,Остановка,"РОСТОВСКАЯ УЛ., 5","РОСТОВСКАЯ УЛ., 5",Ростовская улица,"197, 254, 394","59.735843974404958,30.46278"
5978,Автобус,Остановка,РЕЧНАЯ УЛ,РЕЧНАЯ УЛ,"Александровское шоссе, Речная улица",494,"60.150339307066126,30.0152626"
5979,Автобус,Остановка,РЕЧНАЯ УЛ,РЕЧНАЯ УЛ,"Александровское шоссе, Речная улица",494,"60.149842967202581,30.0145836"
5980,Автобус,Остановка,ФИНЛЯНДСКИЙ ВОКЗАЛ,ФИНЛЯНДСКИЙ ВОКЗАЛ,"Ленина пл., Арсенальная наб",176,"59.954573312178759,30.3547955"
5981,Автобус,Остановка,НОВГОРОДСКАЯ УЛ. УГ. МОИСЕЕНКО,НОВГОРОДСКАЯ УЛ. УГ. МОИСЕЕНКО,"Моисеенко ул., Новгородская ул",46,"59.937675274535287,30.3862419"
5982,Трамвай,ДС,"Конечная станция ""Обуховский завод""","Конечная станция ""Обуховский завод""","Обуховской обороны пр., Грибакиных ул",39,"59.86283059487841,30.4738312"
5983,Автобус,Остановка,ПОС. ШУШАРЫ,ПОС. ШУШАРЫ,"Пушкинская улица, Витебский проспект","186, 190, 281, 34, 342","59.808274613096735,30.3852711"
5984,Автобус,Остановка,"НОВОРОССИЙСКАЯ УЛ.,18","НОВОРОССИЙСКАЯ УЛ.,18","Новороссийская ул., Песочная ул","250, 94","59.996903691180883,30.3379993"
5985,Автобус,Остановка,"ПОС. ШУШАРЫ, ПУШКИНСКАЯ УЛ","ПОС. ШУШАРЫ, ПУШКИНСКАЯ УЛ",Пушкинская ул,34,"59.804719333908814,30.3870544"
5986,Автобус,Остановка,"ПОС. ШУШАРЫ, ПУШКИНСКАЯ УЛ., 12","ПОС. ШУШАРЫ, ПУШКИНСКАЯ УЛ., 12",Пушкинская ул,34,"59.80522774488923,30.3864365"
5987,Автобус,Остановка,"СЕРТОЛОВО, ЦЕНТРАЛЬНАЯ ПРОХОДНАЯ","СЕРТОЛОВО, ЦЕНТРАЛЬНАЯ ПРОХОДНАЯ",,84,"60.139730961308814,30.1878414"
5988,Автобус,Остановка,"ГИПЕРМАРКЕТ ""ЛЕНТА""","ТК ""ЛЕНТА""",Хасанская ул,"124, 15, 153, 169, 174, 23, 24","59.935505955322576,30.4948578"
5989,Автобус,Остановка,"ГИПЕРМАРКЕТ ""ЛЕНТА""","ГИПЕРМАРКЕТ ""ЛЕНТА""",Хасанская ул,"15, 153, 169, 174, 24","59.935772850830134,30.4945335"
5990,Автобус,Остановка,УЛ. ИЛЬЮШИНА,УЛ. ИЛЬЮШИНА,"Ильюшина ул., Планерная ул","125, 223, 235, 294","60.009794369227393,30.2361679"
5991,Автобус,Остановка,"ПЛАНЕРНАЯ УЛ., УГ. КАМЫШОВОЙ УЛ","ПЛАНЕРНАЯ УЛ., УГ. КАМЫШОВОЙ УЛ","Планерная ул., Елагинский пр","125, 170, 235, 294","60.007701469657327,30.2363777"
5992,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР,ДАЛЬНЕВОСТОЧНЫЙ ПР,"Народная улица, Дальневосточный проспект","140, 239, 264, 288, 56, 8","59.881699812056517,30.4686413"
5993,Автобус,Остановка,СЕРЕБРИСТЫЙ БУЛЬВАР,СЕРЕБРИСТЫЙ БУЛЬВАР,"Серебристый бул., Испытателей пр",170,"60.004679676248685,30.2809467"
5994,Автобус,Остановка,"СЕРЕБРИСТЫЙ БУЛЬВ.,13","СЕРЕБРИСТЫЙ БУЛЬВ.,13",Серебристый бульвар,170,"60.001517594552432,30.2815819"
5995,Автобус,Остановка,"УЛ. УТОЧКИНА, СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","УЛ. УТОЧКИНА, СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","Уточкина улица, Уточкина ул","112, 134А, 170, 180, 182, 194, 221, 76","60.008807684302411,30.2620964"
5996,Автобус,Остановка,52 КМ,52 КМ,"Мурманское шоссе, улица Ленина","469, 469А, 475, 475А","59.889564536683046,31.1911392"
5997,Автобус,Остановка,"УЛ. ДОБЛЕСТИ, УГОЛ УЛ. МАРШАЛА ЗАХАРОВА","УЛ. ДОБЛЕСТИ, УГОЛ УЛ. МАРШАЛА ЗАХАРОВА","Маршала Захарова ул., Доблести ул","160, 243, 333, 83","59.857449672273489,30.1776752"
5998,Автобус,Остановка,ШКОЛА ИСКУССТВ,ШКОЛА ИСКУССТВ,"Бухарестская ул., Турку ул",54,"59.864603467961004,30.3864975"
5999,Автобус,Остановка,ШКОЛА ИСКУССТВ,ШКОЛА ИСКУССТВ,"Бухарестская ул., Турку ул",54,"59.864960088654279,30.3867912"
6000,Автобус,Остановка,УЛ. ТУРКУ,УЛ. ТУРКУ,"Бухарестская ул., Турку ул",54,"59.868121501053103,30.382925"
6001,Автобус,Остановка,УЛ. ТУРКУ,УЛ. ТУРКУ,"Бухарестская ул., Турку ул",54,"59.868388938640571,30.3832912"
6002,Автобус,ДС,"А.С. ""КИРОВСКИЙ ЗАВОД"", ПОСАДКИ И ВЫСАДКИ НЕТ","А.С. ""КИРОВСКИЙ ЗАВОД"", ПОСАДКИ И ВЫСАДКИ НЕТ","Корабельная улица, Кронштадтская улица","108, 145, 145Б, 145Э, 17, 20, 200, 201, 210, 229, 244, 245, 26, 300, 481, 482, 482В, 484, 487, 66, 72, 83","59.877045211725523,30.2525196"
6003,Автобус,Остановка,"А.С. ""КИРОВСКИЙ ЗАВОД"", ВЫСАДКА","А.С. ""КИРОВСКИЙ ЗАВОД"", ВЫСАДКА","ул. Корабельная, ул. Кронштадтская","108, 145, 145Б, 145Э, 17, 20, 200, 201, 210, 229, 244, 245, 26, 300, 481, 482, 482В, 484, 487, 66, 72, 83","59.876767560327586,30.2520351"
6004,Автобус,Остановка,ПР. ГЕРОЕВ,ПР. ГЕРОЕВ,"проспект Героев, улица Маршала Захарова","142, 226, 239, 243, 2А, 300, 83","59.859774996099461,30.1582661"
6005,Автобус,Остановка,"ПР. ГЕРОЕВ, 26","ПР. ГЕРОЕВ, 26",проспект Героев,"142, 226, 239, 243, 2А, 300, 83","59.861283968847296,30.1614361"
6006,Автобус,Остановка,"ЛЕНИНСКИЙ ПР., УГОЛ ПР. ГЕРОЕВ","ЛЕНИНСКИЙ ПР., УГОЛ ПР. ГЕРОЕВ","Ленинский проспект, проспект Героев","142, 226, 239, 2А, 300","59.864401152598546,30.1656914"
6007,Автобус,Остановка,"ЛЕНИНСКИЙ ПР., 55","ЛЕНИНСКИЙ ПР., 55",,"142, 226, 239, 2А, 300","59.862525390558623,30.1732731"
6008,Автобус,Остановка,"А.С. ""КИРОВСКИЙ ЗАВОД"", ПОСАДКА","А.С. ""КИРОВСКИЙ ЗАВОД"", ПОСАДКА","ул. Кронштадтская, ул. Корабельная","108, 145, 145Б, 145Э, 17, 20, 200, 201, 210, 229, 244, 245, 26, 300, 481, 482, 482В, 484, 487, 66, 72, 83","59.876825833035475,30.2541466"
6009,Автобус,Остановка,"ПР. НАСТАВНИКОВ, УГ. ПР. УДАРНИКОВ","ПР. НАСТАВНИКОВ, УГ. ПР. УДАРНИКОВ","пр. Ударников, пр. Наставников","102, 27","59.954368124524272,30.4836502"
6010,Автобус,Остановка,УЛ. ОПТИКОВ,УЛ. ОПТИКОВ,"ул. Оптиков, Шуваловский пр","154А, 172, 180, 184, 294","60.002712801356694,30.1959801"
6011,Автобус,Остановка,"МЕБЕЛЬНАЯ УЛ., УГОЛ ТУРИСТСКОЙ УЛ","МЕБЕЛЬНАЯ УЛ., УГОЛ ТУРИСТСКОЙ УЛ","ул. Мебельная, ул. Лыжная","125, 154А, 172","59.995195939802421,30.2044296"
6012,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ, 3","ШОССЕ РЕВОЛЮЦИИ, 3","Революции ш., Пискарёвский пр","106, 234, 37","59.958943507512188,30.4086933"
6013,Автобус,Остановка,СЕРЕБРИСТЫЙ БУЛЬВАР,СЕРЕБРИСТЫЙ БУЛЬВАР,"пр. Испытателей, Серебристый бул","122, 127, 135, 170, 171, 221, 279, 294, 76","60.005342104308312,30.2809849"
6014,Автобус,Остановка,"СТ. МЕТРО ""ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ""","СТ. МЕТРО ""ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ""","Московский проспект, 2-я Красноармейская улица","225, 50","59.915653860582914,30.3179607"
6015,Автобус,Остановка,"УЛ. ОПТИКОВ, УГОЛ ТУРИСТСКОЙ УЛ","УЛ. ОПТИКОВ, УГОЛ ТУРИСТСКОЙ УЛ","ул. Оптиков, ул. Туристская","126, 180, 184, 294","60.001449295716306,30.208786"
6016,Автобус,Остановка,"УЛ. ОПТИКОВ, УГОЛ ТУРИСТСКОЙ УЛ","УЛ. ОПТИКОВ, УГОЛ ТУРИСТСКОЙ УЛ","ул. Туристская, ул. Оптиков","154А, 172, 180, 279, 294","60.000960954929113,30.2097969"
6017,Автобус,Остановка,ЯХТЕННАЯ УЛ,ЯХТЕННАЯ УЛ,ул. Оптиков,"279, 294","59.999383189267078,30.2222309"
6018,Автобус,Остановка,"СТ. МЕТРО ""НАРВСКАЯ""","СТ. МЕТРО ""НАРВСКАЯ""","площадь Стачек, Перекопская улица","35, 6","59.901472880604167,30.2726212"
6019,Автобус,Остановка,АЛАРЧИН МОСТ,АЛАРЧИН МОСТ,"Английский пр., пр. Римского-Корсакова","2, 22, 6, 70","59.921511463744018,30.2864838"
6020,Автобус,Остановка,14-15-Я ЛИНИИ В.О,14-15-Я ЛИНИИ В.О,"Средний пр., 15-я линия","249, 6","59.940183159162757,30.2680016"
6021,Автобус,Остановка,ПР. ПЯТИЛЕТОК,ПР. ПЯТИЛЕТОК,"пр. Пятилеток, ул. Ворошилова","12, 169","59.925153543098034,30.4481564"
6022,Автобус,ДС,"А.С. ""НАЛИЧНАЯ УЛ."" - ПОСАДКИ/ВЫСАДКИ НЕТ","А.С. ""НАЛИЧНАЯ УЛ."" - ПОСАДКИ/ВЫСАДКИ НЕТ","Морская набережная, ул. Уральская","1, 100, 128, 151, 152, 158, 168, 262, 41, 42, 6, 7","59.956785838342682,30.2370663"
6023,Автобус,Остановка,УЛ. ЖЕНИ ЕГОРОВОЙ,УЛ. ЖЕНИ ЕГОРОВОЙ,ул. Прокофьеваул. Жени Егоровой,"121, 123, 143, 148, 167, 173, 180, 180А, 198, 207, 275, 397, 433, 435, 436, 75, 80, 86, 99","60.064660914277063,30.3139572"
6024,Автобус,Остановка,УЛ. ЖЕНИ ЕГОРОВОЙ,УЛ. ЖЕНИ ЕГОРОВОЙ,"улица Прокофьева, улица Жени Егоровой","104, 121, 123, 143, 167, 173, 180, 180А, 198, 207, 275, 397, 433, 435, 436, 75, 80, 86, 99","60.064129196893553,30.3164577"
6025,Автобус,Остановка,ОКТЯБРЬСКАЯ УЛ,ОКТЯБРЬСКАЯ УЛ,"ул. Октябрьская, Кингисеппское ш","145, 145Э, 147, 165","59.717057348260916,30.0458889"
6026,Автобус,Остановка,СОБСТВЕННЫЙ ПР,СОБСТВЕННЫЙ ПР,"Санкт-Петербургский пр., ул. Знаменская","103, 200, 348, 351А, 351Б, 353, 357","59.888625665221596,29.8777504"
6027,Автобус,Остановка,СТАРОДЕРЕВЕНСКАЯ УЛ,СТАРОДЕРЕВЕНСКАЯ УЛ. (ПО УЛ. ИЛЬЮШИНА),"улица Ильюшина, проспект Авиаконструкторов","126, 223, 235, 294","60.008725743745877,30.2471447"
6028,Автобус,Остановка,"ЯХТЕННАЯ УЛ. УГ., УЛ. КАМЫШОВОЙ УЛ","ЯХТЕННАЯ УЛ. УГ., УЛ. КАМЫШОВОЙ УЛ",ул. Яхтенная,"126, 235, 279, 294","60.00827506705555,30.2258892"
6029,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГОЛ ЯХТЕННОЙ УЛ","БОГАТЫРСКИЙ ПР., УГОЛ ЯХТЕННОЙ УЛ","Богатырский пр., ул. Яхтенная","126, 134, 184, 279, 294","60.00548892934993,30.2233715"
6030,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГОЛ ТУРИСТСКОЙ УЛ","БОГАТЫРСКИЙ ПР., УГОЛ ТУРИСТСКОЙ УЛ","Богатырский пр., ул. Туристская","134, 294","60.00704591759078,30.2113953"
6031,Автобус,Остановка,"ТУРИСТСКАЯ УЛ., УГОЛ БОГАТЫРСКОГО ПР","ТУРИСТСКАЯ УЛ., УГОЛ БОГАТЫРСКОГО ПР","ул. Туристская, Богатырский пр","126, 184, 279","60.00631523486917,30.2115765"
6032,Автобус,Остановка,ЗАГРЕБСКИЙ БУЛЬВАР,ЗАГРЕБСКИЙ БУЛЬВАР,"Дунайский пр., Загребcкий бульвар","241, 326, 53","59.840783526218992,30.4030342"
